step 0: train loss 10.4730, val loss 10.4725
iter 0: loss 10.4731, time 61334.32ms, mfu -100.00%
iter 1: loss 10.4051, time 3911.47ms, mfu -100.00%
iter 2: loss 10.2530, time 4915.95ms, mfu -100.00%
iter 3: loss 10.1043, time 4936.57ms, mfu -100.00%
iter 4: loss 10.0002, time 4943.75ms, mfu -100.00%
iter 5: loss 9.8887, time 4956.19ms, mfu 8.53%
iter 6: loss 9.8316, time 4976.23ms, mfu 8.53%
iter 7: loss 9.7526, time 4990.78ms, mfu 8.52%
iter 8: loss 9.6874, time 5013.72ms, mfu 8.52%
iter 9: loss 9.6478, time 5026.03ms, mfu 8.51%
iter 10: loss 9.5962, time 5031.46ms, mfu 8.50%
iter 11: loss 9.5770, time 5041.13ms, mfu 8.49%
iter 12: loss 9.5219, time 5055.48ms, mfu 8.47%
iter 13: loss 9.4728, time 5065.88ms, mfu 8.46%
iter 14: loss 9.4087, time 5110.02ms, mfu 8.44%
iter 15: loss 9.3349, time 5119.40ms, mfu 8.42%
iter 16: loss 9.2518, time 5142.26ms, mfu 8.40%
iter 17: loss 9.2141, time 5139.08ms, mfu 8.39%
iter 18: loss 9.1357, time 5161.02ms, mfu 8.37%
iter 19: loss 9.0158, time 5189.57ms, mfu 8.35%
iter 20: loss 8.9725, time 5216.37ms, mfu 8.32%
iter 21: loss 8.8995, time 5268.75ms, mfu 8.29%
iter 22: loss 8.7874, time 5296.53ms, mfu 8.26%
iter 23: loss 8.7897, time 5335.77ms, mfu 8.23%
iter 24: loss 8.6324, time 5345.16ms, mfu 8.20%
iter 25: loss 8.5733, time 5376.00ms, mfu 8.16%
iter 26: loss 8.5052, time 5400.94ms, mfu 8.13%
iter 27: loss 8.3939, time 5413.86ms, mfu 8.10%
iter 28: loss 8.3200, time 5434.79ms, mfu 8.07%
iter 29: loss 8.2557, time 5424.94ms, mfu 8.04%
iter 30: loss 8.1514, time 5437.91ms, mfu 8.01%
iter 31: loss 8.1057, time 5441.08ms, mfu 7.99%
iter 32: loss 8.0024, time 5436.65ms, mfu 7.97%
iter 33: loss 7.9327, time 5437.85ms, mfu 7.95%
iter 34: loss 7.8634, time 5459.54ms, mfu 7.93%
iter 35: loss 7.8071, time 5436.22ms, mfu 7.91%
iter 36: loss 7.6880, time 5418.03ms, mfu 7.90%
iter 37: loss 7.6652, time 5398.33ms, mfu 7.90%
iter 38: loss 7.6160, time 5377.94ms, mfu 7.89%
iter 39: loss 7.5528, time 5360.32ms, mfu 7.89%
iter 40: loss 7.5123, time 5354.49ms, mfu 7.89%
iter 41: loss 7.4538, time 5342.28ms, mfu 7.90%
iter 42: loss 7.3071, time 5369.77ms, mfu 7.89%
iter 43: loss 7.3880, time 5377.21ms, mfu 7.89%
iter 44: loss 7.2900, time 5400.27ms, mfu 7.89%
iter 45: loss 7.2109, time 5419.97ms, mfu 7.88%
iter 46: loss 7.1401, time 5423.74ms, mfu 7.87%
iter 47: loss 7.2029, time 5438.91ms, mfu 7.86%
iter 48: loss 7.0550, time 5438.90ms, mfu 7.85%
iter 49: loss 7.1210, time 5458.45ms, mfu 7.84%
iter 50: loss 7.1745, time 5457.94ms, mfu 7.83%
iter 51: loss 7.0595, time 5437.55ms, mfu 7.83%
iter 52: loss 7.0522, time 5438.16ms, mfu 7.82%
iter 53: loss 7.0418, time 5439.49ms, mfu 7.82%
iter 54: loss 6.9305, time 5457.70ms, mfu 7.81%
iter 55: loss 6.9568, time 5458.67ms, mfu 7.80%
iter 56: loss 6.9485, time 5460.12ms, mfu 7.80%
iter 57: loss 6.7521, time 5458.79ms, mfu 7.79%
iter 58: loss 6.8485, time 5458.09ms, mfu 7.79%
iter 59: loss 6.8173, time 5460.05ms, mfu 7.78%
iter 60: loss 6.8613, time 5457.27ms, mfu 7.78%
iter 61: loss 6.8571, time 5458.14ms, mfu 7.78%
iter 62: loss 6.7679, time 5456.65ms, mfu 7.78%
iter 63: loss 6.7607, time 5459.51ms, mfu 7.77%
iter 64: loss 6.6984, time 5459.48ms, mfu 7.77%
iter 65: loss 6.6295, time 5457.25ms, mfu 7.77%
iter 66: loss 6.6698, time 5456.76ms, mfu 7.77%
iter 67: loss 6.7992, time 5456.66ms, mfu 7.76%
iter 68: loss 6.5885, time 5438.94ms, mfu 7.77%
iter 69: loss 6.5266, time 5437.13ms, mfu 7.77%
iter 70: loss 6.5290, time 5438.60ms, mfu 7.77%
iter 71: loss 6.4933, time 5438.26ms, mfu 7.77%
iter 72: loss 6.4631, time 5439.88ms, mfu 7.77%
iter 73: loss 6.4473, time 5436.56ms, mfu 7.77%
iter 74: loss 6.4304, time 5459.95ms, mfu 7.77%
iter 75: loss 6.4884, time 5460.01ms, mfu 7.77%
iter 76: loss 6.3831, time 5457.69ms, mfu 7.76%
iter 77: loss 6.4887, time 5458.04ms, mfu 7.76%
iter 78: loss 6.4440, time 5460.53ms, mfu 7.76%
iter 79: loss 6.3769, time 5456.45ms, mfu 7.76%
iter 80: loss 6.2779, time 5458.88ms, mfu 7.76%
iter 81: loss 6.2685, time 5458.25ms, mfu 7.76%
iter 82: loss 6.3842, time 5458.68ms, mfu 7.76%
iter 83: loss 6.3475, time 5456.28ms, mfu 7.76%
iter 84: loss 6.2006, time 5459.13ms, mfu 7.76%
iter 85: loss 6.1894, time 5459.05ms, mfu 7.75%
iter 86: loss 6.3473, time 5457.55ms, mfu 7.75%
iter 87: loss 6.2298, time 5458.25ms, mfu 7.75%
iter 88: loss 6.2893, time 5457.69ms, mfu 7.75%
iter 89: loss 6.1476, time 5456.85ms, mfu 7.75%
iter 90: loss 6.2407, time 5458.84ms, mfu 7.75%
iter 91: loss 6.1686, time 5458.43ms, mfu 7.75%
iter 92: loss 6.1323, time 5457.67ms, mfu 7.75%
iter 93: loss 6.1118, time 5458.91ms, mfu 7.75%
iter 94: loss 6.0618, time 5458.50ms, mfu 7.75%
iter 95: loss 6.1747, time 5457.55ms, mfu 7.75%
iter 96: loss 6.1611, time 5460.76ms, mfu 7.75%
iter 97: loss 6.1056, time 5458.81ms, mfu 7.75%
iter 98: loss 6.1084, time 5456.45ms, mfu 7.75%
iter 99: loss 6.0626, time 5458.89ms, mfu 7.75%
step 100: train loss 6.0646, val loss 6.0459
saving checkpoint to out
iter 100: loss 6.0802, time 46085.18ms, mfu 7.07%
iter 101: loss 6.1096, time 5455.27ms, mfu 7.14%
iter 102: loss 6.0380, time 5460.75ms, mfu 7.20%
iter 103: loss 6.0884, time 5457.44ms, mfu 7.25%
iter 104: loss 6.0206, time 5459.24ms, mfu 7.30%
iter 105: loss 5.9821, time 5459.18ms, mfu 7.35%
iter 106: loss 6.0094, time 5458.31ms, mfu 7.39%
iter 107: loss 6.0896, time 5457.60ms, mfu 7.42%
iter 108: loss 5.9617, time 5457.50ms, mfu 7.46%
iter 109: loss 5.9167, time 5459.31ms, mfu 7.48%
iter 110: loss 5.9552, time 5458.69ms, mfu 7.51%
iter 111: loss 5.9024, time 5457.47ms, mfu 7.53%
iter 112: loss 5.9112, time 5458.66ms, mfu 7.56%
iter 113: loss 5.8793, time 5458.27ms, mfu 7.58%
iter 114: loss 5.8182, time 5458.74ms, mfu 7.59%
iter 115: loss 5.7971, time 5458.58ms, mfu 7.61%
iter 116: loss 5.8632, time 5479.00ms, mfu 7.62%
iter 117: loss 5.8979, time 5498.14ms, mfu 7.63%
iter 118: loss 5.9110, time 5457.76ms, mfu 7.64%
iter 119: loss 5.9445, time 5478.73ms, mfu 7.65%
iter 120: loss 5.8064, time 5477.45ms, mfu 7.65%
iter 121: loss 5.8293, time 5458.62ms, mfu 7.66%
iter 122: loss 5.7402, time 5457.00ms, mfu 7.67%
iter 123: loss 5.7912, time 5457.62ms, mfu 7.68%
Traceback (most recent call last):
  File "/teamspace/studios/this_studio/gippity/train.py", line 325, in <module>
    lossf = loss.item() * gradient_accumulation_steps
KeyboardInterrupt
Traceback (most recent call last):
  File "/teamspace/studios/this_studio/gippity/train.py", line 325, in <module>
    lossf = loss.item() * gradient_accumulation_steps
KeyboardInterrupt
